"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"","image-slider-response-modified","291","3128657","0.0-291.0","60588","DH-016","19:12:56","","","","","","","","","","","","assessment 7","","556","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","292","3129659","0.0-292.0","60588","DH-016","19:12:57","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","293","3130664","0.0-293.0","60588","DH-016","19:12:58","1440","900","true","chrome","130.0.0","false","Mac OS","true","59.85","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","294","3227962","0.0-294.0","60588","DH-016","19:14:35","","","","","","","","","","","","video24","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
"","image-slider-response-modified","295","3230722","0.0-295.0","60588","DH-016","19:14:38","","","","","","","","","","","","assessment 0","","2756","components/portraits/StimImgElenaAlves.PNG","80","","","","","80","Elena Alves","A",""
"","image-slider-response-modified","296","3233234","0.0-296.0","60588","DH-016","19:14:41","","","","","","","","","","","","assessment 1","","2510","components/portraits/StimImgFranklinReinhardt.PNG","0","","","","","0","Franklin Reinhardt","A",""
"","image-slider-response-modified","297","3234026","0.0-297.0","60588","DH-016","19:14:42","","","","","","","","","","","","assessment 2","","788","components/portraits/StimImgHenryFraser.PNG","100","","","","","100","Henry Fraser","A",""
"","image-slider-response-modified","298","3241033","0.0-298.0","60588","DH-016","19:14:49","","","","","","","","","","","","assessment 3","","7003","components/portraits/StimImgJonathanFraser.PNG","70","","","","","54","Jonathan Fraser","A",""
"","image-slider-response-modified","299","3241891","0.0-299.0","60588","DH-016","19:14:49","","","","","","","","","","","","assessment 4","","854","components/portraits/StimImgMiguelAlves.PNG","0","","","","","0","Miguel Alves","A",""
"","image-slider-response-modified","300","3243189","0.0-300.0","60588","DH-016","19:14:51","","","","","","","","","","","","assessment 5","","1294","components/portraits/StimImgFernandoAlves.PNG","0","","","","","0","Fernando Alves","A",""
"","image-slider-response-modified","301","3243396","0.0-301.0","60588","DH-016","19:14:51","","","","","","","","","","","","assessment 6","","204","components/portraits/StimImgSylviaSteinetz.PNG","0","","","","","0","Sylvia Steinetz","A",""
"","image-slider-response-modified","302","3244354","0.0-302.0","60588","DH-016","19:14:52","","","","","","","","","","","","assessment 7","","953","components/portraits/StimImgGraceFraser.PNG","90","","","","","90","Grace Fraser","A",""
"","html-keyboard-response","303","3245357","0.0-303.0","60588","DH-016","19:14:53","","","","","","","","","","","","","","null","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">Returning to the video...""]","null","","","","","","","",""
"","browser-check","304","3246357","0.0-304.0","60588","DH-016","19:14:54","1440","900","true","chrome","130.0.0","false","Mac OS","true","60.13","true","true","Browser_Check","","","","","","","","","","","",""
"","video-keyboard-response","305","3317632","0.0-305.0","60588","DH-016","19:16:5","","","","","","","","","","","","video25","","null","[""components/stim/StimVid_Undoing2.mp4""]","null","","","","","","","",""
