"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"pavlovia_init","pavlovia","0","706","0.0-0.0","58140","DH-002","11:54:9","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1713","0.0-1.0","58140","DH-002","11:54:10","1440","815","true","firefox","131.0.0","false","Mac OS","true","59.94","true","true","Browser_Check","","","","","","","","","","","",""
"","fullscreen","2","4140","0.0-2.0","58140","DH-002","11:54:13","","","","","","","","","","","","Fullscreen","true","1420","","","","","","","","","",""
"","html-keyboard-response","3","21476","0.0-3.0","58140","DH-002","11:54:30","","","","","","","","","","","","Instruction","","17335","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch an episode of a publicly broadcasted murder mystery television show.<br><br>It contains adult themes and graphic language. While the video will portray a character accused of a violent crime, as well as verbal descriptions of the crime, <strong>violence will not be shown</strong>, nor will any other graphic visual content.<br><br><br>If you are not comfortable with continuing, please exit this experiment now.<br><br><br><br>Otherwise, please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","","","","",""
"","preload","4","22379","0.0-4.0","58140","DH-002","11:54:31","","","","","","","","","","","","Preload","true","","","","false","[]","[]","[]","","","",""
"","image-button-response-modified","5","43550","0.0-5.0","58140","DH-002","11:54:52","","","","","","","","","","","","Consent","","21170","components/consent/SONA.png","0","","","","","","","",""
"","html-keyboard-response","6","44824","0.0-6.0","58140","DH-002","11:54:53","","","","","","","","","","","","Instr_Task","","1270","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","7","51504","0.0-7.0","58140","DH-002","11:55:0","","","","","","","","","","","","Instr_Task","","6679","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 60 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","8","54069","0.0-8.0","58140","DH-002","11:55:3","","","","","","","","","","","","Instr_Task","","2563","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","9","61102","0.0-9.0","58140","DH-002","11:55:10","","","","","","","","","","","","Instr_Task","","7031","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">You will watch 45 minutes of a crime mystery drama in which one character is suspected of having murdered another.<br><br><br>We will present background information about the characters of the show and the surrounding context before the episode begins.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","10","68702","0.0-10.0","58140","DH-002","11:55:17","","","","","","","","","","","","Instr_Task","","7600","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">The video will intermittently pause while you watch to assess how certain <strong>you</strong> are that different characters in the show are guilty or innocent of having committed the murder.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","11","73385","0.0-11.0","58140","DH-002","11:55:22","","","","","","","","","","","","Instr_Task","","4683","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">These certainty assessments tend to be flexible and may shift upon hearing something that a character says or seeing something that a character does or events that occur when a character is not on screen.<br><br><br>Some of this information may influence your assessments only slightly while other information may influence your assessments a great deal.<br><br><br>When prompted, please update your rating of how certain you are of each character's innocence or guilt at that moment in time. <br><br><br> Please try to be as precise as you can.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
