"trial_id","trial_type","trial_index","time_elapsed","internal_node_id","subject_id","break_id","time","width","height","webaudio","browser","browser_version","mobile","os","fullscreen","vsync_rate","webcam","microphone","task","success","rt","stimulus","response","timeout","failed_images","failed_audio","failed_video","slider_start","character","label_condition","question_order"
"pavlovia_init","pavlovia","0","693","0.0-0.0","60719","DH-005","13:44:44","","","","","","","","","","","","","","","","","","","","","","","",""
"","browser-check","1","1705","0.0-1.0","60719","DH-005","13:44:45","1466","770","true","safari","17.4.0","false","Mac OS","true","60","true","true","Browser_Check","","","","","","","","","","","",""
"","fullscreen","2","19375","0.0-2.0","60719","DH-005","13:45:2","","","","","","","","","","","","Fullscreen","true","16667","","","","","","","","","",""
"","html-keyboard-response","3","31445","0.0-3.0","60719","DH-005","13:45:14","","","","","","","","","","","","Instruction","","12068","[""<p style=\""font-size: 36px; width: 1200px; line-height: 40px;\"">During this experiment, you will watch an episode of a publicly broadcasted murder mystery television show.<br><br>It contains adult themes and graphic language. While the video will portray a character accused of a violent crime, as well as verbal descriptions of the crime, <strong>violence will not be shown</strong>, nor will any other graphic visual content.<br><br><br>If you are not comfortable with continuing, please exit this experiment now.<br><br><br><br>Otherwise, please press the <strong>SPACE BAR</strong> to continue.</p>""]"," ","","","","","","","",""
"","preload","4","32185","0.0-4.0","60719","DH-005","13:45:15","","","","","","","","","","","","Preload","true","","","","false","[]","[]","[]","","","",""
"","image-button-response-modified","5","86930","0.0-5.0","60719","DH-005","13:46:10","","","","","","","","","","","","Consent","","54741","components/consent/SONA.png","0","","","","","","","",""
"","html-keyboard-response","6","88253","0.0-6.0","60719","DH-005","13:46:11","","","","","","","","","","","","Instr_Task","","1316","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Thank you for agreeing to participate in this experiment! <br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","7","107639","0.0-7.0","60719","DH-005","13:46:30","","","","","","","","","","","","Instr_Task","","19384","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">Before we begin, please be sure that you are in a good space to complete the experiment. This space should be: <br><br><br><br> <strong>Comfortable <br><br> Distraction-free <br><br> Available for the next 60 minutes</strong> <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","8","122819","0.0-8.0","60719","DH-005","13:46:46","","","","","","","","","","","","Instr_Task","","15178","<p style=""font-size: 36px; width: 1200px; line-height: 40px;""><strong>Please give your full attention to the experiment. This includes:</strong> <br><br><br><br> Closing or minimizing other programs on your computer <br><br> Silencing your phone or placing it somewhere it will not be distracting <br><br> Testing that your audio is working and set to a comfortable volume that you can clearly hear <br><br> Not completing this experiment with others present <br><br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
"","html-keyboard-response","9","132976","0.0-9.0","60719","DH-005","13:46:56","","","","","","","","","","","","Instr_Task","","10156","<p style=""font-size: 36px; width: 1200px; line-height: 40px;"">You will watch 45 minutes of a crime mystery drama in which one character is suspected of having murdered another.<br><br><br>We will present background information about the characters of the show and the surrounding context before the episode begins.<br><br><br><br> Please press the <strong>SPACE BAR</strong> to continue</p>"," ","","","","","","","",""
